ID,City,Postal Code,AreaCode,JoinDate,ExpiryDate,Time2ExpiryDays,Time2ExpiryYears,YearJoin,YearExpire,ProdCount,ProdMix,Gender,AssocMemCount,JoinAge,ExpireAge,PlusMemb,LTVCode,ERSCalls,ERSCallsBinary,RenewType,Target
6.20E+15,BEAMSVILLE,L0R1B8,905,11/11/2016,11/30/2016,19,0,2016,2016,4,AEGM,F,0,18,18,N,C,0,NO,R,No
6.20E+15,NIAGARA FALLS,L2G1Y6,289,3/31/2017,3/31/2017,0,0,2017,2017,2,EM,F,0,76,76,Y,D,3,YES,A,No
6.20E+15,WELLAND,L3B1R2,905,10/26/2016,3/31/2017,156,0,2016,2017,3,EGM,F,0,,,Y,D,2,YES,R,No
6.20E+15,BEAMSVILLE,L0R1B1,289,11/24/2015,12/31/2016,403,1,2015,2016,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B2,289,11/24/2015,12/31/2016,403,1,2015,2016,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,BEAMSVILLE,L0R1B5,905,11/24/2015,12/31/2016,403,1,2015,2016,1,M,,0,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2R7J1,403,12/2/2015,12/31/2016,395,1,2015,2016,1,M,,0,,,N,D,0,NO,R,No
6.20E+15,ST CATHARINES,L3M7S7,905,12/17/2015,10/31/2016,319,1,2015,2016,1,M,M,0,,,Y,D,0,NO,R,No
6.20E+15,ST CATHARINES,L2R5C9,,5/5/2015,5/31/2016,392,1,2015,2016,1,M,,0,,,N,C,2,YES,R,No
6.20E+15,VIRGIL,L0S1T0,905,5/7/2015,5/31/2016,390,1,2015,2016,1,M,F,0,64,66,N,C,0,NO,R,No
6.20E+15,WELLAND,L3C5B4,289,8/27/2015,8/31/2016,370,1,2015,2016,1,M,,0,29,30,Y,C,1,YES,A,No
6.20E+15,SUTTON WEST,L0E1R0,705,11/17/2015,11/30/2016,379,1,2015,2016,1,M,,0,77,78,Y,C,0,NO,A,No
6.20E+15,RIDGEWAY,L0S1N0,289,11/19/2015,12/31/2016,408,1,2015,2016,1,M,M,0,,,Y,C,0,NO,R,No
6.20E+15,STEVENSVILLE,L0S1S0,905,11/19/2015,12/31/2016,408,1,2015,2016,1,M,,0,,,N,C,0,NO,R,No
